MFG_DATE,TOOLG_ID,IS_HOLIDAY,M_NUM,UP_TIME,C_UP_TIME,LOT_SIZE,C_LOT_SIZE,EQP_UTIL,C_EQP_UTIL,EQP_AVAIL_RATE,TC,PROCESS_TIME,PROCESS_JOBTIME,INLINE_CT_BY_LOT,INLINE_CT_BY_WAFER,WIP_QTY,NO_HOLD_QTY,MOVE_QTY,ARRIVAL_WIP_QTY,RUN_WIP,RUN_WIP_RATIO,CLOSE_WIP_QTY,MANAGEMENT_WIP_QTY,C_TC,C_CLOSE_WIP,C_TOOLG_LOADING,C_TOOL_LOADING,DISPATCHING,HOLD_RATE,ENG_LOT_RATE,HOT_LOT_RATE,BACKUP_BY_RATE,BACKUP_FOR_RATE,REWORK_LOT_RATE,QUE_LOT_RATE,SAMPLING_RATE,NUM_RECIPE,CHANGE_RECIPE,BATCH_SIZE
20200122,MA_Alps,0.9499,4.0,0.619437112160785,0.206197268005793,24.0967741935484,0.196026381048329,0.660879839163038,0.504139241961946,0.49869109947644,1.12525097465887,1.92148342059337,1.92073007562536,0.114569638355633,0.114946328523972,26.000,25.000,747,794,0.000,0,1000,NULL,2.13248559121828,9.79031727541775,NULL,NULL,NULL,0.038461,0.00669344042838019,0.0281124497991968,0,0.390896921017403,0,0.609103078982597,0,8,0.419354838709,NULL
20200122,PK_DUVKrF,0.9499,30.0,0.97893589268624,0.130694436789589,21.5437053326003,0.220838538925065,0.960454086554287,0.346952208527257,0.0638629283489097,0.404075649243918,1.1961222588724,0.815531732942398,0.147589735660619,0.155744092933778,19000.000,17474.000,39188,39874,2021.000,9.401286,33226,NULL,5.71671623490645,0.292369037675712,NULL,NULL,NULL,0.080315,0.0140859446769419,0.0438144329896907,0.000178626110033684,0.0150045932428294,0.0270746146779626,0.294860671634174,0,579,0.677844969763,NULL
20200122,PW_PIX,0.9499,3.0,1,0.126728348524068,21.9444444444444,0.21463227296486,0.656589976814696,0.504476305282597,0.587962962962963,0.642735042735043,1.44382716049383,0.897974537037037,0.148661265432099,0.145922080110173,108.000,100.000,1580,1531,50.000,2.16,1344,NULL,3.55166732441249,7.21985687128284,NULL,NULL,NULL,0.074074,0,0.0468354430379747,0,0.491139240506329,0.00822784810126582,0.0632911392405063,0,23,0.805555555555,NULL
20200122,XE_Sorter,0.9499,15.0,0.971326139977154,0.125776474903411,22.5154986522911,0.202504158799118,0.668133832029261,0.495682432646651,0.86329739442947,0.0931876138433515,0.0672476789457922,0.0660562668463612,0.0505032850404313,0.0518477540068126,2570.000,1808.000,33413,34473,125.000,20.56,32925,NULL,22.0251033330484,0.367039818818847,NULL,NULL,NULL,0.296498,0.0153832340705713,0.0401041510789214,0.0126896716846736,0.0742525364379134,0.0203812887199593,0.145392511896567,0,2,0.299078667611,NULL
20200123,MA_Alps,1.0000,4.0,0.758361697693804,0.161452841246198,23.2758620689655,0.187677816500155,0.452552506515407,0.732735602346462,0.68562874251497,1.11989942528736,1.74745508982036,1.74666333998669,0.110624930694167,0.11264432441701,73.000,73.000,675,727,48.000,1.520833,919,NULL,1.85769609690072,11.7381954373195,NULL,NULL,NULL,0,0.00888888888888889,0.0533333333333333,0.111111111111111,0.112592592592593,0,0.776296296296296,0,12,0.586206896551,NULL
20200123,PK_DUVKrF,1.0000,30.0,0.961597357290605,0.126436144562046,21.7968253968254,0.202677024189012,0.971502563641559,0.340859691143147,0.0653615520282187,0.391040521978022,1.19930482069371,0.803732510288066,0.349826015334117,0.368177712383529,19686.000,18295.000,41196,40687,2106.000,9.347578,32338,NULL,5.23097418635774,0.3314804557874,NULL,NULL,NULL,0.070659,0.0141761336052044,0.03446936595786,0,0.0199048451305952,0.0202689581512768,0.295392756578309,0,574,0.644444444444,NULL
20200123,PW_PIX,1.0000,3.0,0.943610879565311,0.128275569039029,20.4333333333333,0.215571537533839,0.694145527232262,0.476285450877905,0.537037037037037,0.596769005847953,1.66508641975309,0.896518518518518,0.19958616255144,0.19889741682275,59.000,50.000,1839,1888,0.000,0,791,NULL,3.41034423138899,13.5355314457448,NULL,NULL,NULL,0.152542,0.000543773790103317,0,0,0.54921152800435,0.00380641653072322,0.121805328983143,0,21,0.733333333333,NULL
20200123,XE_Sorter,1.0000,15.0,0.990389305671328,0.119105442060473,22.5355596784168,0.192835766652233,0.670180755371979,0.490871064140256,0.850381364667079,0.0953549382716049,0.0694157562014705,0.0684425891568749,0.0565179931400169,0.0551841630839127,3630.000,2707.000,36440,35723,75.000,48.4,31246,NULL,20.3445451370117,0.3876478136633,NULL,NULL,NULL,0.254269,0.0129253567508233,0.0329857299670692,0.0117727771679473,0.0892151481888035,0.0119923161361142,0.150576289791438,0,2,0.348300192431,NULL
20200124,MA_Alps,1.0000,4.0,0.933607136241549,0.125442887271836,24.4576271186441,0.170915909472196,0.849793560445162,0.38695649926814,0.567361111111111,1.14498650472335,2.30743364197531,2.30656867283951,0.161620498971193,0.161205805164138,125.000,125.000,1443,1543,100.000,1.25,891,NULL,1.69904341336404,12.5468979749476,NULL,NULL,NULL,0,0,0.0332640332640333,0.0173250173250173,0.449064449064449,0,0.533610533610534,0,12,0.440677966101,NULL
20200124,PK_DUVKrF,1.0000,30.0,0.959254113797042,0.121418756547171,21.6764386536374,0.19153543954853,0.970599783722547,0.337998643055211,0.0665218964893232,0.398116122159091,1.20387803112559,0.804151284835324,0.420847031206016,0.444416426419407,19177.000,17702.000,39928,38092,1867.000,10.271558,32529,NULL,4.83629340003912,0.342028111670136,NULL,NULL,NULL,0.076915,0.0104688439190543,0.0365658184732519,0.000100180324584252,0.0308555399719495,0.0145511921458626,0.262572630735324,0,530,0.65200868621,NULL
