MFG_MONTH,TOOL_ID,M_NUM,UP_TIME,C_UP_TIME,LOT_SIZE,C_LOT_SIZE,EQP_UTIL,C_EQP_UTIL,EQP_AVAIL_RATE,TC,PROCESS_TIME,PROCESS_JOBTIME,INLINE_CT_LOT,INLINE_CT_WAFER,MOVE_QTY,C_TC,ENG_LOT_RATE,HOT_LOT_RATE,BACKUP_BY_RATE,BACKUP_FOR_RATE,RWORK_LOT_RATE,QUE_LOT_RATE,SAMPLING_RATE,NUM_RECIPE,CHANGE_RECIPE
202002,ECT11,2,0.972893572,0.026024057,23.68164063,0.138675049,0.575409892,0.40757819,1.234375,1.893320473,1.676800673,1.503065321,0.23423428,0.241556986,12125,0.416923542,0.033649485,0.027876289,0,0,0.002721649,0.932041237,0,39,0.900390625
202002,ECT12,2,0.962312328,0.026077081,23.20916335,0.194348676,0.716115329,0.324504843,2.482522796,1.420735835,1.724357058,1.604329618,0.309346593,0.312926098,11651,0.455888026,0.008926272,0.049523646,0,0,0.001716591,0.831430778,0,33,0.890438247
202002,ECT13,2,0.920703947,0.027471868,23.95352564,0.22796296,0.963887004,0.242582145,1.475252062,1.108095967,1.741301558,1.264535085,1.216855374,1.154508495,14947,0.542498692,0.013046096,0.016926474,0,0,0.010838295,0.564728708,0,60,0.644230769
202002,ECT14,2,0.909254007,0.028363025,23.56369427,0.262526059,0.687641222,0.336894725,0.922770701,1.630407197,1.511169055,1.339385173,0.296687179,0.300387907,14798,0.369927093,0.002500338,0.002094878,0,0,0.015339911,0.675091229,0,31,0.847133758
202002,ECT15,2,0.965445582,0.0265186,22.67378641,0.297217845,0.786660814,0.292497164,2.374847375,1.191639073,1.653356397,1.489273504,0.307614992,0.337681448,11677,0.536439012,0.034341012,0.096600154,0,0,0.001712769,0.905968999,0,38,0.875728155
202002,ECT16,2,0.998967026,0.026093604,23.93617021,0.304078498,0.019894965,12.25155364,0.5,0.542893519,0.702565012,0.595130024,0.047968381,0.048647356,1125,0.44076013,0.002666667,0.132444444,0,0,0,0.024,0,5,0.553191489
202002,ECT17,2,0.93267746,0.027874114,24.03515625,0.322443045,0.941726991,0.259568046,2.264417845,1.263857915,1.983047697,1.569033672,0.412758773,0.422256879,12306,0.534264881,0.001462701,0.041036893,0,0,0.012351698,0.909881359,0,63,0.884765625
202002,ECT18,2,0.927583452,0.028035855,23.73556797,0.34336737,0.741444347,0.327116687,1.572625698,1.943463164,1.948334368,1.773739396,0.42904099,0.435743529,12746,0.378757284,0.001019928,0.037737329,0,0,0.002039856,0.956849208,0,41,0.910614525
202002,ECT19,2,0.964966921,0.026761962,22.38968481,0.37749058,0.379685452,0.640723781,0.793696275,1.627501864,1.836840974,1.493311047,0.522799931,0.534139303,7814,0.496465639,0.005246993,0.141540824,0,0,0.008318403,0.973893013,0,23,0.802292264
202002,ECT22,2,0.987052598,0.026296012,23.11961722,0.378414926,0.428576738,0.567109515,1.81937799,1.813483885,1.664700292,1.442857523,0.449642893,0.413982026,9664,0.473948273,0.012003311,0.042425497,0,0,0.01107202,0.564362583,0,29,0.76076555
