MFG_MONTH,TOOL_ID,M_NUM,UP_TIME,C_UP_TIME,LOT_SIZE,C_LOT_SIZE,EQP_UTIL,C_EQP_UTIL,EQP_AVAIL_RATE,TC,PROCESS_TIME,PROCESS_JOBTIME,INLINE_CT_LOT,INLINE_CT_WAFER,MOVE_QTY,C_TC,ENG_LOT_RATE,HOT_LOT_RATE,BACKUP_BY_RATE,BACKUP_FOR_RATE,RWORK_LOT_RATE,QUE_LOT_RATE,SAMPLING_RATE,NUM_RECIPE,CHANGE_RECIPE
202002,DIA01,3,0.890923523,0.074562826,21.969163,0.088045091,0.843146502,0.25918561,3.640630353,1.056967932,1.637686137,1.636414868,0.124705938,0.128475882,14961,0.528069424,0.003408863,0.019316891,0,0,6.68E-05,0.99993316,0,24,0.718061674
202002,DIA02,3,0.931433154,0.071045372,22.50072569,0.122102479,0.803411195,0.270986412,3.711254765,0.996588751,1.563492182,1.561940162,0.129756231,0.13029875,15503,0.489266393,0.006772883,0.02425337,0,0,6.45E-05,0.998774431,0,10,0.510885341
202002,DIA03,3,0.868379426,0.076228864,19.97117794,0.161721036,0.813897436,0.266522411,2.130500759,1.41010101,1.505048263,1.503314576,0.234809063,0.255823861,15937,0.219608659,0.012423919,0.056535107,0,0,0.000627471,0.858693606,0,23,0.759398496
202002,DIA04,3,0.939375373,0.070198511,21.10564399,0.174544015,0.923459338,0.23449493,2.215352911,1.325579834,1.881749098,1.880684212,0.202713879,0.20128793,14584,0.567708939,0.039838179,0.116428963,0,0.001097093,6.86E-05,0.99115469,0,34,0.752532562
202002,DIA05,3,0.917161621,0.071650552,19.65070093,0.204716342,0.868875968,0.24850228,2.878974781,1.011673554,1.405959772,1.403671304,0.163713284,0.16487377,16821,0.517226138,0.015575768,0.054099043,0,0.001783485,0.000118899,0.897449617,0,35,0.594626168
202002,DIA07,3,0.910017938,0.071986284,22.75959079,0.194832308,0.981627299,0.219962535,1.662511131,2.169549353,3.721879885,3.720441031,0.484924805,0.462483607,8899,0.443994248,0.032925048,0.017979548,0,0.096977188,0.002921677,0.877064839,0,20,0.588235294
202002,DIA09,3,0.860479802,0.076228181,21.37168142,0.222461277,0.895502639,0.24053799,1.603629417,1.77212482,3.088481906,3.087195957,0.31610785,0.358939665,9660,0.497230108,0.01563147,0.139440994,0,0,0.001138716,0.361801242,0,28,0.564159292
202002,DIA10,2,0.995407823,0.065849138,19.19379845,0.259677496,0.209199206,1.051002622,0.5,3.379521073,3.474203273,3.473217054,0.280992948,0.251310217,2476,0.419082717,0.100161551,0.253634895,0,0,0.000807754,0.897011309,0,5,0.542635659
202002,DIA11,3,0.879223435,0.074484917,21.94661922,0.240199799,0.852046844,0.257252804,1.100769422,1.190856009,1.79519401,1.79401754,0.277008253,0.294019167,12334,0.534843679,0.006729366,0.074347333,0,0,0.000567537,0.717772012,0,52,0.519572954
202002,DIA12,3,0.904195056,0.072225716,22,0.251707467,0.974375415,0.224888832,2.279559118,2.500142857,4.101520541,4.100330661,0.546619396,0.555976406,7744,0.486703846,0.003744835,0.015495868,0,0,0.000516529,0,0,12,0.420454545
202002,DIA51,3,0.875012072,0.074597694,20.1042524,0.28540024,0.887185133,0.246370536,2.19745098,1.152860697,1.718562092,1.71767402,0.227408361,0.249822932,14656,0.538332093,0.00805131,0.02933952,0,0,0.000409389,0.602415393,0,55,0.609053498
