STOCK_EVENT_TIME,PART_NO,CATEGORY,PUT_ON_SERIAL,REPLACE_SERIAL,EQP_NO,CHAMBER_NO,LAYER,PUT_ON_STATUS,REPLACE_STATUS,KIND,FAB,QTY
2015/10/11 22:46,85-ECT0010,GE,54BF0MM-02011,54BF0MM-02011,EHT51,PM3,MX 1T,clean,廠內清洗,TS,P2,1
2015/10/12 13:20,85-ECT0010,GE,53F57MM-02011,53CJ6MM-02011,ECT69,PM3,F68 1C,備品,待報廢,PM,P2,1
2015/10/12 15:58,85-ECT0010,GE,54BE8MM-02011,54BE8MM-02011,ECT12,PM2,LCD 1C,clean,廠內清洗,PM,P1,1
2015/10/12 20:59,85-ECT0010,GE,55C76MM-02011,55B70MM-02011,ECT17,PM1,LCD 1C,備品,備品,PM,P1,1
2015/10/12 22:14,85-ECT0010,GE,55199MM-02011,54BF4MM-02011,ECT69,PM1,F68 1C,備品,備品,TS,P2,1
2015/10/13 10:40,85-ECT0010,GE,54BE3MM-02011,54BE3MM-02011,ECT14,PM2,LCD 1C,clean,廠內清洗,PM,P1,1
2015/10/13 17:11,85-ECT0010,GE,54BE2MM-02011,54BE2MM-02011,ECT65,PM1,1B,clean,廠內清洗,PM,P2,1
2015/10/14 01:37,85-ECT0010,GE,53381MM-02011,53381MM-02011,EHT05,PM1,1C,clean,廠內清洗,PM,P1,1
2015/10/14 04:59,85-ECT0010,GE,54BE2MM-02011,54BE2MM-02011,ECT65,PM1,1B,clean,廠內清洗,TS,P2,1
2015/10/14 10:25,85-ECT0010,GE,55125MM-02011,55192MM-02011,ECT15,PM1,DK40 4E,新品,備品,TS,P1,1
2015/10/15 01:26,85-ECT0010,GE,53F54MM-02011,53F54MM-02011,ECT70,PM1,F68 1C,clean,廠內清洗,PM,P2,1
2015/10/15 02:06,85-ECT0010,GE,4ZET9MM-02011,54CS9MM-02011,EHT01,PM2,LCD 1C,備品,備品,TS,P1,1
2015/10/15 10:22,85-ECT0010,GE,51C99MM-02011,53AP9MM-02011,ECT69,PM2,F68 1C,備品,待報廢,PM,P2,1
2015/10/15 10:23,85-ECT0010,GE,55C83MM-02011,55C83MM-02011,ECT70,PM3,1F,clean,廠內清洗,PM,P2,1
2015/10/15 17:49,85-ECT0010,GE,54BE1MM-02011,54BE1MM-02011,ECT19,PM2,C4F8 1T,clean,廠內清洗,PM,P1,1
2015/10/16 00:08,85-ECT0010,GE,57179MM-020Z1,57179MM-020Z1,ECT62,PM1,F38 1T,clean,廠內清洗,TS,P2,1
2015/10/16 18:27,85-ECT0010,GE,54GF7MM-02011,53CB9MM-02011,ECT66,PM1,F63 2B SAC,新品,備品,PM,P2,1
2015/10/16 19:45,85-ECT0010,GE,57179MM-020Z1,57179MM-020Z1,ECT62,PM1,F38 1T,clean,廠內清洗,TS,P2,1
2015/10/16 22:00,85-ECT0010,GE,54GC6MM-02011,55B85MM-02011,ECT66,PM2,F38 1T,新品,備品,PM,P2,1
