PART_NO,EQP_NO,STOCK_EVENT_TIME,QTY,PM,TS
85-ECT0010,ECT17,2017-05-31,6,6.0,0.0
85-ECT0010,ECT17,2017-06-30,6,6.0,0.0
85-ECT0010,ECT17,2017-07-31,7,7.0,0.0
85-ECT0010,ECT17,2017-08-31,8,8.0,0.0
85-ECT0010,ECT17,2017-09-30,7,7.0,0.0
85-ECT0010,ECT17,2017-10-31,6,6.0,0.0
85-ECT0010,ECT17,2017-11-30,6,6.0,0.0
85-ECT0010,ECT17,2017-12-31,8,8.0,0.0
85-ECT0010,ECT17,2018-01-31,7,6.0,1.0
85-ECT0010,ECT17,2018-02-28,5,5.0,0.0
85-ECT0010,ECT17,2018-03-31,6,6.0,0.0
85-ECT0010,ECT17,2018-04-30,6,6.0,0.0
85-ECT0010,ECT17,2018-05-31,7,7.0,0.0
85-ECT0010,ECT17,2018-06-30,5,5.0,0.0
85-ECT0010,ECT17,2018-07-31,6,6.0,0.0
85-ECT0010,ECT17,2018-08-31,7,7.0,0.0
85-ECT0010,ECT17,2018-09-30,5,5.0,0.0
85-ECT0010,ECT17,2018-10-31,6,6.0,0.0
85-ECT0010,ECT17,2018-11-30,4,4.0,0.0
85-ECT0010,ECT17,2018-12-31,4,4.0,0.0
85-ECT0010,ECT17,2019-01-31,7,7.0,0.0
85-ECT0010,ECT17,2019-02-28,4,4.0,0.0
85-ECT0010,ECT17,2019-03-31,5,5.0,0.0
85-ECT0010,ECT17,2019-04-30,3,3.0,0.0
85-ECT0010,ECT17,2019-05-31,5,5.0,0.0
85-ECT0010,ECT17,2019-06-30,4,4.0,0.0
85-ECT0010,ECT17,2019-07-31,6,6.0,0.0
85-ECT0010,ECT17,2019-08-31,4,4.0,0.0
85-ECT0010,ECT17,2019-09-30,7,7.0,0.0
85-ECT0010,ECT17,2019-10-31,4,4.0,0.0
85-ECT0010,ECT17,2019-11-30,4,4.0,0.0
85-ECT0010,ECT17,2019-12-31,6,6.0,0.0
85-ECT0010,ECT17,2020-01-31,6,6.0,0.0
85-ECT0010,ECT17,2020-02-29,7,7.0,0.0
85-ECT0010,ECT17,2020-03-31,8,8.0,0.0
85-ECT0010,ECT17,2020-04-30,6,6.0,0.0
85-ECT0010,ECT17,2020-05-31,7,7.0,0.0
