MFG_MONTH,TOOL_ID,M_NUM,UP_TIME,C_UP_TIME,LOT_SIZE,C_LOT_SIZE,EQP_UTIL,C_EQP_UTIL,EQP_AVAIL_RATE,TC,PROCESS_TIME,PROCESS_JOBTIME,INLINE_CT_LOT,INLINE_CT_WAFER,MOVE_QTY,C_TC,ENG_LOT_RATE,HOT_LOT_RATE,BACKUP_BY_RATE,BACKUP_FOR_RATE,RWORK_LOT_RATE,QUE_LOT_RATE,SAMPLING_RATE,NUM_RECIPE,CHANGE_RECIPE
202002,EHA01,4,0.963460885,0.024468643,21.74494557,0.057199115,0.117342374,2.092981733,0.255054432,0.702456276,0.939212027,0.740119665,0.119105196,0.1165536,13982,0.506195278,0.005936204,0.021170076,0,0.857459591,0.004505793,0,0,19,0.32503888
202002,EHA02,4,0.94693282,0.024331819,23.56123277,0.051628428,0.892616981,0.276750685,0.798955108,0.721355238,1.070506643,0.886619475,0.638559865,0.651028874,29051,0.595016685,0.007641734,0.061512512,0,0.0006196,0.006574645,0.969674022,0,120,0.758313058
202002,EHA03,4,0.956215431,0.023518549,21.93173198,0.055354769,0.134037977,1.961625357,0.282553729,0.661723461,0.880276724,0.702949501,0.126160158,0.121768324,17348,0.53684784,0.004611483,0.050611021,0,0.667396818,0.006340789,0,0,16,0.400758534
202002,EHA04,4,0.947689499,0.023232135,23.79340938,0.050252156,0.238599011,1.122984937,0.631178707,1.102016391,1.738913533,1.271411773,0.541951046,0.543096413,18773,0.655994067,0.002343792,0.025302296,0,0.192031109,0.004900655,0.807436212,0,17,0.760456274
202002,EHA05,4,0.940221405,0.023100754,23.75487465,0.049546605,0.730230858,0.361058534,0.706388613,0.492162932,0.670959947,0.572014785,0.456606743,0.429097523,42640,0.515479791,0.009263602,0.04847561,0,0,0.0059803,0.917026266,0,76,0.790529248
202002,EHA06,4,0.962066416,0.022171335,24.97727273,0.048446642,0.554266827,0.465889083,1.089650146,0.567521825,1.095003239,0.632149201,0.300812716,0.297658994,27475,0.632736749,0.001674249,0.022784349,0,0,0.005277525,0.970263876,0,32,0.706363636
202002,EHT01,2,0.962961726,0.02178133,22.54299176,0.052905616,0.860568215,0.300288789,0.993421053,1.708670139,1.804854106,1.719581506,0.483962686,0.497714268,19139,0.298151093,0.014316317,0.159726213,0,0.002455719,0.001306233,0.607503004,0,68,0.935217903
202002,EHT02,2,0.9485716,0.021713041,22.87257618,0.051194856,0.508762309,0.499338391,1.454293629,2.02923011,2.543408741,1.945481687,0.343600787,0.355364075,8257,0.49961169,0.000726656,0.008114327,0,0,0.002785515,0.977958096,0,21,0.736842105
202002,EHT03,2,0.935230554,0.021943066,22.25382653,0.052212322,0.961251909,0.268934881,1.091091493,1.316652829,2.003008516,1.510736133,1.394043448,1.235968028,17447,0.534180561,0.018627844,0.077663782,0,0.000343899,0.007966986,0.646758755,0,85,0.783163265
202002,EHT04,2,0.960028516,0.021030482,23.32695811,0.048937085,0.893829138,0.289976118,0.784581498,1.259260753,1.477496329,1.369176456,0.980883709,0.954473539,25613,0.24125344,0.007144809,0.02365986,0,0,0.002850115,0.895365635,0,55,0.895264117
202002,EHT05,2,0.957006398,0.020740116,23.23431734,0.048283364,0.767992953,0.333433977,0.959006211,1.835644972,2.413293651,1.72779158,0.792469232,0.815487768,12593,0.548956307,0.006035099,0.069483046,0,0,0.007464464,0.682919082,0,28,0.592250923
202002,EHT06,2,0.955499866,0.020426413,23.01188455,0.047941625,0.634548481,0.396777847,1.935483871,1.996039199,2.252508961,1.94169119,0.41064465,0.397416314,13554,0.473982184,0.003688948,0.023092814,0,0,0.017633171,0.713516305,0,27,0.870967742
202002,EHT07,2,0.945382057,0.020369873,23.71428571,0.045965698,0.597092276,0.414905618,1.594537815,1.975973025,2.293950747,2.000992647,0.42728053,0.436742866,11288,0.482155867,0.001151665,0.033752658,0,0,0.004961021,0.704287739,0,26,0.831932773
202002,EHT09,2,0.926071879,0.021107156,23.0097561,0.046640309,0.550335377,0.44371346,0.598591549,1.370364924,1.539024648,1.35301252,0.350567619,0.344703426,14151,0.52376827,0.03165854,0.019291923,0,0,0,0.641085436,0,37,0.762601626
202002,EHT51,3,0.966631084,0.020065966,22.16542948,0.048285377,0.569504228,0.42254781,0.963237893,1.747136119,2.025461294,1.639952869,0.456670361,0.462462631,20902,0.503317734,0.027078748,0.084393838,0,0.068127452,0.000334896,0.74193857,0,33,0.902439024
202002,EKA01,3,0.930660345,0.020933065,23.18151448,0.045486901,0.787192558,0.303246202,0.934918119,0.526509804,0.677081705,0.600464166,0.266716268,0.295284894,41634,0.356508779,0.010736417,0.005188067,0,0,0.003843013,0.439016189,0,223,0.878619154
202002,EKA03,3,0.897728001,0.023679009,23.98787879,0.043738122,0.604938049,0.388976426,0.758296908,0.763274596,0.780241083,0.719205386,0.231072673,0.235292026,35622,0.353382123,0.005418,0.011341306,0,0,0.006400539,0.191398574,0,84,0.908417508
202002,EKA04,2,0.972741864,0.021860344,24.60860656,0.043154619,0.295004002,0.807856501,0.634221311,1.072561254,1.290099613,1.125277209,0.175443918,0.177216641,12009,0.514226868,0.000832709,0.041219086,0,0,0.005579149,0,0,7,0.571721311
202002,EKA53,3,0.925947101,0.023091474,23.89428815,0.04410113,0.527038308,0.446900959,1.633090441,0.521789586,0.666194933,0.551638329,0.175929652,0.192572358,28028,0.478427858,0.002069359,0.000428143,0,0,0.000214072,0.692807193,0,67,0.827791986
202002,EUT01,3,0.957624744,0.022061001,13.22775801,0.144127495,0.410902912,0.571179111,0.462633452,4.089722222,2.102712535,1.824749901,0.355364769,0.440950447,7434,0.301278593,0.449959645,0.46677428,0,0.004708098,0.107210116,0.688458434,0,87,0.951957295
202002,EUT02,2,0.953505158,0.021874292,23.63333333,0.079759018,0.705778768,0.328953231,3.196969697,3.88656746,4.327375421,3.847672559,0.52773541,0.533538621,7799,0.41016179,0.000897551,0.029747404,0,0,0.000128222,0.999230671,0,7,0.845454545
