PLAYER_ID,HEIGHT,WEIGHT,POSITION
76001,82,240,Forward
76002,81,235,Center
76003,86,225,Center
51,73,162,Guard
1505,78,235,Forward
949,81,245,Forward
76005,79,220,Forward
76006,75,180,Guard
76007,75,192,Forward
101165,77,185,Guard
