LotID,PartNo
MNN158000,C3P96FM3MP-DST
MNN1580C0,C3P96FM3MP-DST
MNN181000,C3P96FM3MP-DST
MNN183000,C3P96FM3MP-DST
MNN185000,C3P96FM3MP-DST
MNN239000,C3P96FM3MP-DST
MNN240000,C3P96FM3MP-DST
MNN281000,C3P96FM3MP-DST
MNN342000,C3P96FM3MP-DST
MNN393000,C3P96FM3MP-DST
MNN564000,C3P96FM3MP-DST
MNN617000,C3P96FM3MP-DST
MNN653000,C3P96FM3MP-DST
MNN654000,C3P96FM3MP-DST
MNN656000,C3P96FM3MP-DST
MNN658000,C3P96FM3MP-DST
MNN697000,C3P96FM3MP-DST
MNP310070,C3P96FM3MP-DST
MNL795000,C3P96FM3MP-DSA
MNM855100,C3P96FM3MP-DSA
MNN069000,C3P96FM3MP-DSA
MNN0720B0,C3P96FM3MP-DSA
MNN114000,C3P96FM3MP-DSA
MNN158000,C3P96FM3MP-DSA
MNN1580C0,C3P96FM3MP-DSA
MNN181000,C3P96FM3MP-DSA
MNN183000,C3P96FM3MP-DSA
MNN185000,C3P96FM3MP-DSA
MNN239000,C3P96FM3MP-DSA
MNN240000,C3P96FM3MP-DSA
MNN281000,C3P96FM3MP-DSA
MNN342000,C3P96FM3MP-DSA
MNN393000,C3P96FM3MP-DSA
MNN564000,C3P96FM3MP-DSA
MNN617000,C3P96FM3MP-DSA
MNN653000,C3P96FM3MP-DSA
MNN654000,C3P96FM3MP-DSA
MNN656000,C3P96FM3MP-DSA
MNN658000,C3P96FM3MP-DSA
MNN697000,C3P96FM3MP-DSA
MNP310070,C3P96FM3MP-DSA
